,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
103,5264,1,0.3739372998530962,-0.025079162134130768,2887.994742446697,17.0,2.0
104,5314,1,0.3756100555403864,-0.028431088611673795,2886.67745667176,17.0,2.0
105,5364,1,0.3758709050350223,-0.03404280369872306,2885.080653252674,17.0,2.0
106,5413,1,0.3745350020290562,-0.029516244665553498,2883.502173206641,17.0,2.0
107,5463,1,0.37418651978622425,-0.027587078347543613,2882.0713768654728,17.0,2.0
108,5513,1,0.3732753377262394,-0.02687716748431948,2880.769569695268,17.0,2.0
109,5562,1,0.3731296664174166,-0.02153431902478675,2879.659094745871,17.0,2.0
110,5612,1,0.3730410809726362,-0.02394577692229796,2878.5290248981887,17.0,2.0
111,5662,1,0.3730006449907738,-0.028107630268611423,2877.2483810801837,17.0,2.0
112,5711,1,0.37203884558689376,-0.026309005661862925,2875.9469402816558,17.0,2.0
113,5761,1,0.3720118005297169,-0.02688775555726589,2874.559792456431,17.0,2.0
114,5811,1,0.37264414974996846,-0.029000318955255403,2873.217775395963,17.0,2.0
115,5860,1,0.37236438236152025,-0.02028036091808147,2871.9632110154794,17.0,2.0
116,5910,1,0.3727608949880897,-0.022185412657115943,2870.802883177482,17.0,2.0
117,5960,1,0.3724204070274028,-0.02066619418168116,2869.737752111008,17.0,2.0
118,6009,1,0.3714319283478784,-0.020425048391931638,2868.685853527477,17.0,2.0
119,6059,1,0.37076465368677725,-0.02346348534279663,2867.6541365158346,17.0,2.0
120,6109,1,0.3702139280908203,-0.02570614118748226,2866.4380818694626,17.0,2.0
121,6159,1,0.3697985679448319,-0.03187139878526764,2865.0212196249745,17.0,2.0
122,6208,1,0.37063876444115856,-0.028865151033226594,2863.5551989218616,17.0,2.0
123,6258,1,0.37062975371432944,-0.03339869188054867,2861.9738477670603,17.0,2.0
124,6308,1,0.370478231640395,-0.031051090262408633,2860.425834040335,17.0,2.0
125,6357,1,0.3705438954674891,-0.025416766239784214,2859.049473825617,17.0,2.0
126,6407,1,0.3692627643959697,-0.022860620868418256,2857.8273872167897,17.0,2.0
127,6457,1,0.3692685770156422,-0.019928671761266253,2856.786915598262,17.0,2.0
128,6506,1,0.36968474025585185,-0.014420518227125591,2855.9675576682193,17.0,2.0
129,6556,1,0.36963888589322297,-0.016229111650258428,2855.2051262341997,17.0,2.0
130,6606,1,0.37024103485289395,-0.021496908643203864,2854.2197516478946,17.0,2.0
